X,Y,PARENT_REF,PARENT_R_1,AGENCY_REF,AGENCY_NAM,AGENCY_N_1,ADDRESS,CITY,STATE,ZIPCODE,ADDRESS_FU,PROGRAM,SHOPPING_L,FAMILY_MAR,JOYFUL_MAR,GROCERY_PL,HEALTH_CAR,MOBILE_MAR,PARTNER_DI,WEEKEND_BA,TOTAL_POUN,XCOORD,YCOORD,LATITUDE,LONGITUDE,MAR_ID,BROWN_BAG,KIDS_CAFE,COMMUNITY,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,OBJECTID,EDITED
-8574470.27326725,4714669.05678023,8165,0,8165-CF,Colony House Residential Site, ,903 Farragut ST NW,Washington,DC,20011,903 Farragut ST NW Washington DC 20011,Direct Distributions,0, , ,"14,354", ,0,0, ,14353.55,397765.96,142570.47,38.95103112,-77.02577288,251846,0, , ,Emergency_Food_Providers_21,{C62AFE97-A49C-42C4-8659-47DA7B2990FB},,,,159,
-8567959.66342201,4714476.45941083,7240,0,Multiple,Queenstown Community Center, ,3103 Queens Chapel Road,Mount Rainier,MD,20712,3103 Queens Chapel Road Mount Rainier MD 20712,Direct Distributions,0, , , , ,0,0,"5,361",19601.145,,,,,,0,"14,240", ,Emergency_Food_Providers_22,{1593F64C-F435-4688-B746-0228A91E6CA4},,,,160,
-8562026.84723098,4714419.2756579,9635,0,Multiple,I Hope Project for Humanity, ,5033 57th Ave,Bladensburg,MD,20710,5033 57th Ave Bladensburg MD 20710,Shopping & Direct Distribution,49638.75, , , , ,0,1889, ,51527.75,,,,,,0, , ,Emergency_Food_Providers_23,{5A2EAA07-0938-4BCF-8ED2-424DB1E550B0},,,,161,
-8580797.79505203,4714403.37273329,8415,0,8415-CF,Friendship Terrace Residential Site, ,4201 Butterworth PL NW,Washington,DC,20016,4201 Butterworth PL NW Washington DC 20016,Direct Distributions,0, , ,"1,743", ,0,0, ,1743.365,399917.93,135256.92,38.8851511,-77.00094592,301926,0, , ,Emergency_Food_Providers_24,{00951117-8A96-462A-8DA0-9B65328CABE2},,,,162,
-8617715.53531458,4714292.6268251,9605,0,Multiple,Beacon Hill Missionary Baptist Church, ,2472 Centreville Rd.,Herndon,VA,20171,2472 Centreville Rd. Herndon VA 20171,Shopping & Direct Distribution,9851.171, , , , ,0,32219, ,42070.171,,,,,,0, , ,Emergency_Food_Providers_25,{4354FE86-F734-43D4-AF85-A3523D86E504},,,,163,
-8555509.31326563,4714376.37648323,6860,5678,Multiple,Mt. Calvary Baptist Church, ,5120 Whitfield Chapel Road,Lanham,MD,20706,5120 Whitfield Chapel Road Lanham MD 20706,Direct Distributions,0, , , , ,76147.25,0, ,78099.047,,,,,,1951.797, , ,Emergency_Food_Providers_26,{684D5130-17E3-42C6-BC51-4A410F918943},,,,164,
-8558865.37280801,4714352.48665358,6566,0,6566-BB,Ebenezer Church of God, ,7550 Buchanan St.,Hyattsville,MD,20784,7550 Buchanan St. Hyattsville MD 20784,Direct Distributions,0, , , , ,0,0, ,271.658,,,,,,271.658, , ,Emergency_Food_Providers_27,{4A6698CB-BD9A-40ED-B54B-C700CBDB19D9},,,,165,
-8575589.8016063,4714306.94050557,7050,0,7050-MM,Office of Latino Affairs, ,4801 16th St NW,Washington,DC,20011,4801 16th St NW Washington DC 20011,Direct Distributions,0, , , , ,63290.84,0, ,63290.84,401103.78,136700.77,38.89815715,-76.98727574,67591,0, , ,Emergency_Food_Providers_28,{58484D61-BB18-4351-A2AE-25E8C6C12160},,,,166,
-8570815.01930701,4714303.79184622,8205,0,8205-MM,Faith United Church of Christ Church, ,4900  10th Street NE,Washington,DC,20017,4900  10th Street NE Washington DC 20017,Direct Distributions,0, , , , ,66157.37,0, ,66157.37,401421.44,133135.87,38.86604269,-76.98362116,286537,0, , ,Emergency_Food_Providers_29,{1ADDFA03-2875-404D-99CD-28ABFCD437F6},,,,167,
-8575278.32930797,4714238.16360887,7050,0,7050-CF,Andromeda Transcultural Health Community Site, ,1400 Decatur ST NW,Washington,DC,20010,1400 Decatur ST NW Washington DC 20010,Direct Distributions,0, , ,"7,117", ,0,0, ,7116.859,397126.56,142243.35,38.94808248,-77.03314791,302000,0, , ,Emergency_Food_Providers_30,{6F11ABA8-14C1-4003-BE47-3DF2BFF0AFEE},,,,168,
